title,company,link,location,salary,source
Software Engineer,Citadel,https://www.google.com/search?ibp=htl;jobs&q=Software+Engineer&htidocid=RWEdoNhlI17bJoBFAAAAAA%3D%3D&hl=en-US&shndl=37&shmd=H4sIAAAAAAAA_xXMsQrCMBAAUFz7BeJ0owgmIrjoKCK4FueSpGeSEu9C7sCu_rl1eePrvqtu2_NLP64h3ChmQmywhwd7EHQtJGCCO3MsuLkk1Spna0WKiaJOczCB35YJPc92Yi9_BklLV4tTHI6nw2wqxd36mtWNWCATPCkrjtAvA8oPEbhKRoQAAAA&shmds=v1_AdeF8Ki2rxeommHQ1paedVQ8iWPnGyV_Af_YmYICopkRjiOgag&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Software+Engineer&htidocid=RWEdoNhlI17bJoBFAAAAAA%3D%3D,United States,N/A,Google Jobs
Software Engineer I - IT Device Activations,SPECTRUM,https://www.google.com/search?ibp=htl;jobs&q=Software+Engineer&htidocid=wAn8D4VeUFgvWyCuAAAAAA%3D%3D&hl=en-US&shndl=37&shmd=H4sIAAAAAAAA_xWOMQrCQBBFsc0NtJpaNCuCjVYag0QQxcRaNuu4WVlnQmZJchgPa9L84vHg_eg3iQ45v0OnG4SUrCPEBjJYQlbAEVtnEPYmuFYHxyQDP3MJgroxFTDBidl6nO2qEGrZKiXiYythsE1s-KuYsORefbiUcZ5SDaHa64DP9WbVxzXZ-TS_pUlxf1zA0fjBY8f8WkBy_QN7FdlSnwAAAA&shmds=v1_AdeF8Kj_ewMBrI94ovaoumKxXp1PQ5T88yjnV5GrUukwXFjsNQ&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Software+Engineer&htidocid=wAn8D4VeUFgvWyCuAAAAAA%3D%3D,"Englewood, CO",N/A,Google Jobs
Software Engineer I,Quantinuum,https://www.google.com/search?ibp=htl;jobs&q=Software+Engineer&htidocid=2Qn649CBKvaf_37IAAAAAA%3D%3D&hl=en-US&shndl=37&shmd=H4sIAAAAAAAA_xXMsQrCMBAAUFz7CeJwc9FGBBfdFBFdRPyAktZrEknuSu6C_QN_W13e-KrPrKofPOjbZoQTuUCIGS6wgit3IGhz74EJzswu4nzvVUfZGSMSGydqNfRNz8kwYceTeXEnf1rxv3CMVrHdbNdTM5KrF_diSQOVkiAQHDJzGgLG5xKOty-QR30digAAAA&shmds=v1_AdeF8Kjy4OLXhv9i-kOLtcuGfEfJwzcwFS6f5VRwbk9q4f5sHw&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Software+Engineer&htidocid=2Qn649CBKvaf_37IAAAAAA%3D%3D,"Broomfield, CO",N/A,Google Jobs
Staff Software Engineer,Lockheed Martin,https://www.google.com/search?ibp=htl;jobs&q=Software+Engineer&htidocid=9H0QbeqyP1gsU__oAAAAAA%3D%3D&hl=en-US&shndl=37&shmd=H4sIAAAAAAAA_xXMQQrCMBBAUdx6BFezciGaiOBGlyKKKII9QEnTaRKNMyUzYC_ifa3wecs__U6mplLXdVBxpx9XEI4UEiEWWMGFGxB0xUdgghNzyDjbR9VedtaKZBNEnSZvPL8tEzY82Cc38qeWOO767BTrzXY9mJ7CYn5l_4qILdxc0UQwdk4hZketwMORj0s43H95ZrxJmAAAAA&shmds=v1_AdeF8KglpdBtzgX0t3NSevqMd1Feb5Z5thJUmE7s20z4FoAkYw&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Software+Engineer&htidocid=9H0QbeqyP1gsU__oAAAAAA%3D%3D,"Highlands Ranch, CO",N/A,Google Jobs
Principal Command & Telemetry Software Engineer (Onsite),RTX,https://www.google.com/search?ibp=htl;jobs&q=Software+Engineer&htidocid=hQukPFuwKnuT_1N_AAAAAA%3D%3D&hl=en-US&shndl=37&shmd=H4sIAAAAAAAA_xXMsQrCMBAAUFy7uTrdJCraiOCikxQRXCrawa2k8WwjyV1ITqyf45-qyxtf9hlk5SlaMjZoBwV7r-kGY6jQoUeJb7jwXV46IuyptYQYYVJSsoJTWMCRG0ioo-mACQ7MrcPRthMJaaNUSi5vk2ixJjfsFRM23KsHN-lPnbrfG5wWrFfrZZ8HamfDc3UFS7B7Ro56DkX5BZ07AFekAAAA&shmds=v1_AdeF8KiOL1PBOS5A5_JiSHZyz_8QnXfqnKUcbpNowPgEuMlRLw&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Software+Engineer&htidocid=hQukPFuwKnuT_1N_AAAAAA%3D%3D,"Aurora, CO",N/A,Google Jobs
"Software Engineer, Product",Meta,https://www.google.com/search?ibp=htl;jobs&q=Software+Engineer&htidocid=qZR00cjJho11B-CTAAAAAA%3D%3D&hl=en-US&shndl=37&shmd=H4sIAAAAAAAA_xXMsQrCMBCAYVy7uzjdLJqo4KKzCIIgFOeSpGcaiXchd2LfwNe2Lv_2_c131mxbfujHVYQTxUSIdQW3yv07KKzhwh4EXQ0DMMGZOWZcHAfVIgdrRbKJok5TMIFflgk9j_bJXv7pZJi-JTvFbrffjKZQXM6vqA4SwZ2SYg_txFF-0koUx4oAAAA&shmds=v1_AdeF8Kg6uKkVBQp2XzGYg_Vp2gmEjk35NFxdGp1XDvuWMSKGaA&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Software+Engineer&htidocid=qZR00cjJho11B-CTAAAAAA%3D%3D,United States (+8 others),N/A,Google Jobs
Principal Software Engineer - 25k Sign On - TS/SCI/Poly,Leidos,https://www.google.com/search?ibp=htl;jobs&q=Software+Engineer&htidocid=pY8kdPiBUE_JSyVMAAAAAA%3D%3D&hl=en-US&shndl=37&shmd=H4sIAAAAAAAA_xXNsQrCMBCAYVw7OzndLNpIoYtOUkQUsYW4lzSeaTTehSRifR5f1Lr88E1_9p1k5yZY0tYrB5Jv6a0Cwo6MJcQASyjKB0hrCGoadZFCVgfRsPuMOnIHEVXQPTDBntk4nG36lHxcCxGjy01MKlmda34KJux4EHfu4j9t7MeVdyphW5SrIfdk5tMT2itHsATbV-CgFlDVP0eqBTCmAAAA&shmds=v1_AdeF8KiDqCnqlBcfSpWPoSrUdoBrs7sYnUrX3-xrjV_OVUD8Mw&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Software+Engineer&htidocid=pY8kdPiBUE_JSyVMAAAAAA%3D%3D,"Aurora, CO",N/A,Google Jobs
Software Engineer (Backend) - Early in Career - 33351,Splunk,https://www.google.com/search?ibp=htl;jobs&q=Software+Engineer&htidocid=SznGRzZL6miUGTPNAAAAAA%3D%3D&hl=en-US&shndl=37&shmd=H4sIAAAAAAAA_x2NMQ7CMBAERZuSkupKQEoMRGmgA0VIiC4PiBzncEzMnWUbEV7DVzE0u8WsZrPPLLs2fIsv6RFq0oYQPSyPUo1I_QpyqKW3bzAEpzRJLIeyLKtt6gt3EFB6NQATnJm1xcVhiNGFvRAh2EKHKKNRheKHYMKOJ3HnLvyiDUPyOSsjtrtqMxWO9HreOPuk8f_Glr3s-QsBu-VTogAAAA&shmds=v1_AdeF8KhdWPPUKh7ZtucvKkZ-pBCNQ61cthhaNQAHQ_qQ-Fnr7g&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Software+Engineer&htidocid=SznGRzZL6miUGTPNAAAAAA%3D%3D,Colorado (+1 other),N/A,Google Jobs
Software Engineer V,SPECTRUM,https://www.google.com/search?ibp=htl;jobs&q=Software+Engineer&htidocid=_inbSsnS4i1TniQAAAAAAA%3D%3D&hl=en-US&shndl=37&shmd=H4sIAAAAAAAA_xXMsQrCMBAAUFz7CU7nWjQRwUXHUgRBFKtdS9KeSSTmQi7QfoQfbV3e-IrvoigbeuVRJYQ6GBcQE7SwgTNpYFSpt0ABTkTG4_Joc458kJLZC8NZZdeLnj6SAmqa5Js0_-nYzmH0KmO3228nEYMpV82trh735wXcHCbEMBIN0DrvlcE1VNcfqiwkQI8AAAA&shmds=v1_AdeF8KitjYzb81QQxiCfIz2U-d3ut7x2p_LZgEESghvi1vaYUA&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Software+Engineer&htidocid=_inbSsnS4i1TniQAAAAAAA%3D%3D,"Greenwood Village, CO",N/A,Google Jobs
Principal Software Engineer,Toast,https://www.google.com/search?ibp=htl;jobs&q=Software+Engineer&htidocid=Ph1oYt_AruiVgdkkAAAAAA%3D%3D&hl=en-US&shndl=37&shmd=H4sIAAAAAAAA_xXMsQrCMBCAYVz7AA5ONwsmUnDRWQQnoTqXJJ5JSrwLuQP7Cr61dfm37---q66_tUwhV1dg4Jd-XEM4U8yE2GAHV_Yg6FpIwAQX5lhwc0qqVY7WihQTRZ3mYAK_LRN6nu3EXv4ZJS27Wpzi2B_2s6kUt-s7O1HIBA_Kik8YFo_yA43jdlSMAAAA&shmds=v1_AdeF8KggFhLn-csPPwnk5LLbpK06ZEFXISzV5y3bfxkJkhNXRw&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Software+Engineer&htidocid=Ph1oYt_AruiVgdkkAAAAAA%3D%3D,United States,N/A,Google Jobs
